,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity,Average Days Late,Illustrative Price,Order Cycle Time,Total Shipped Quantity
10,56.0,69.0,261,150000.0,5.0,155.0,234,1450.0,0.0,3.85,292,150000.0,1.0,0.03,341,30400.0,0.0,280.0,194,2304.0,98.0,11.0,177,540.0,0.0,36.67,293,93.0,0.0,3.85,232,4137450.0,14.0,248.5,364,12.0,31.0,79.9,186,250.0,0.0,8.5,312,21000.0,1.0,13.21,333,124000.0,-122.0,7.1,50,1201200.0,1.0,86.67,228,30.0,-30.0,122.51,-78,16800.0,-4.0,79.1,222,10.0,60.0,45.0,96,15000.0,0.0,18.0,407,750.0,-6.0,50.0,219,52800.0,0.0,93.01,154,250.0,36.0,165.0,167,20.0,25.0,903.77,152,119040.0,63.0,263.05,237,183.0,0.0,280.0,316,350208.0,0.0,52.0,294,450.0,-5.0,4.51,36,129500.0,14.0,8.86,138,252.0,0.0,340.0,324,4.0,7.0,149.0,570,170.0,1.0,168.19,77,210.0
11,-13.0,273.0,225,400.0,-28135.0,500.0,211,1.0,5.0,8.29,38,1938.0,0.0,198.0,114,120.0,0.0,45.95,73,42.0,-1.0,88.4,97,28000.0,0.0,838.95,331,912.0,0.0,0.67,446,14650.0,0.0,55.0,212,32832.0,16.0,6.5,267,126000.0,0.0,4.5,253,11340000.0,0.0,240.24,283,1000512.0,5.0,96.87,152,2256000.0,0.0,54.51,183,170.0,1.0,137.0,79,280.0,0.0,280.0,289,18432.0,0.0,4.5,134,7603.0,0.0,0.71,215,1200.0,13.0,180.0,363,20.0,4.0,7.4,256,21420.0,-22.0,3.85,377,2995080.0,-7.0,3.85,214,4387650.0,56.0,69.0,261,60000.0,0.0,176.37,133,29.0,0.0,137.0,129,240.0,5.333333333,12.49,388,1000020.0,31.0,4.61,274,1940250.0,0.0,55.5,99,3060.0,0.0,13.45,300,86400.0,-7.0,1.9,98,855960.0
12,-2.0,8.5,247,28200.0,109.0,9.8,202,26000.0,0.0,15.61,317,152670.0,-4.0,9.0,137,15500.0,-36.0,10.15,203,10618560.0,0.0,5.12,398,680.0,0.0,115.2,271,4000.0,0.0,48.0,324,3840.0,0.0,199.14,149,140.0,0.0,12.37,99,23780.0,0.0,44.0,264,2700.0,375.0,223.53,204,2.0,0.0,11.27,193,525.0,0.0,4.3,284,21000.0,0.0,291.91,244,3.0,11.0,75.0,137,6000.0,0.0,79.1,49,15.0,0.0,15.61,267,33150.0,61.0,18.65,239,270000.0,20.0,268.15,181,2.0,0.0,630.42,325,20.0,0.0,24.5,687,400.0,-1.0,52.0,202,414144.0,0.0,830.72,275,1.0,-8.0,5.56,202,5001570.0,0.0,7.99,227,3000.0,0.0,216.0,51,2500.0,-1.0,2.14,291,7350.0,30.0,26.88,511,471360.0,0.0,5.49,62,900000.0
13,60.0,29.24,96,96000.0,0.0,375.0,117,91.0,3.0,290.0,242,122.0,1.5,3.15,269,3189270.0,-12.0,11.5,282,592200.0,-1.0,248.5,219,330.0,-16.0,1.75,185,2300000.0,-10.0,75.0,188,500.0,0.0,2.0,190,1054080.0,-59.0,5.56,119,1200000.0,6.0,500.0,291,149000.0,0.0,13.21,257,164500.0,0.0,40.56,128,10.0,37.0,5.56,230,1442790.0,0.0,3.18,90,1000.0,-9.0,96.87,163,9750000.0,0.0,18.0,51,625.0,1.0,3266.93,173,1.0,-1.0,13.21,253,455300.0,0.0,45.02,343,444000.0,-20.0,15360.0,83,20.0,90.0,121.85,140,240.0,0.0,198.0,62,3.0,0.0,95.0,179,192.0,-2.0,37.08,191,140.0,0.0,380.0,156,216.0,1.0,20.85,65,470000.0,0.0,9.0,409,17000.0,0.0,1.99,173,382250.0,52.0,0.01,226,20000.0
14,-14.0,95.0,250,96.0,-2.0,184.83,239,6000480.0,0.0,581.76,320,2068.0,0.0,75.0,252,560.0,-1.0,17.25,55,6000.0,0.0,0.3,93,74880.0,0.0,0.32,184,3600.0,-12.0,110.0,152,26000.0,0.0,12.95,186,287500.0,-1.0,75.0,412,2160.0,-7.0,67.17,285,12.0,153.0,7.74,213,6621800.0,-310.0,4.6,6,65300.0,-13.0,222.07,131,12.0,211.0,112.5,281,51375.0,5.0,250.0,155,400.0,-48.0,10.15,210,16195500.0,0.0,2.0,231,529440.0,-1.0,15.61,364,30000.0,25.0,30.82,65,2500.0,81.0,190.0,87,20.0,0.0,16.25,335,5645472.0,12.0,139.0,111,6.0,21.0,7.31,493,16.0,-5.0,1.9,204,1841940.0,-3.0,2898.0,289,1.0,0.0,104.0,121,40.0,0.0,0.43,355,190830.0,0.0,14.4,172,13400.0,208.0,2.15,386,180000.0
15,0.0,280.0,177,20736.0,0.0,7.4,416,5850.0,0.0,250.0,194,100.0,0.0,110.0,558,4000.0,9.5,0.79,246,600000.0,-246.0,85.95,149,6000000.0,0.0,18.0,266,29400.0,59.0,2.32,313,65000.0,20.0,63.55,181,2.0,4.0,19.12,88,23400.0,0.0,43.0,297,50.0,-1.0,10.15,333,8575200.0,22.0,4.25,79,210000.0,0.0,134.4,308,81600.0,-8.0,79.0,159,20.0,-4.0,18.38,214,325.0,0.0,10.15,211,4677840.0,0.0,171.88,538,8000.0,21.0,18.65,54,2777760.0,-8.0,150.0,141,26.0,0.0,13934.0,46,25.0,0.0,12191.69,18,100.0,13.0,903.77,135,239520.0,0.0,79.0,168,8.0,-1.0,30.0,278,1479.0,-10.0,3397.985,334,4.0,130.0,20.95,166,67.5,0.0,86.64,290,10.0,-14.0,3.81,391,180.0,0.0,177.98,288,76.0
16,0.0,110.0,118,10000.0,0.0,32.0,154,2000000.0,-1.0,1.34,513,80000.0,42.0,96.87,152,5976000.0,54.0,9.0,336,9720.0,92.0,830.72,367,1.0,-4.0,30.82,192,2440.0,0.0,30.0,248,362.09999999999997,-7.0,52.0,236,86400.0,0.0,1.75,574,3664500.0,0.0,71.88,83,2000.0,0.0,5.81,288,1710.0,-14.0,660.0,203,171.0,64.0,1000.0,177,15.0,-13.0,44.0,177,12420.0,0.0,14.25,655,545400.0,1.0,1.75,470,100800.0,0.0,0.85,281,27200.0,14.0,30.0,253,12183.9,0.0,213.0,410,179.0,0.0,7.54,250,192500.0,-3.0,621.0,107,13440.0,34.0,15.61,369,26250.0,0.0,0.01,82,200.0,-21.0,6.43,118,450000.0,7.0,382.41,149,20736.0,0.0,44.0,223,2880.0,-2.0,0.3,183,35280.0,104.0,180.0,273,20300.0,39.0,575.0,84,200.0
17,-5.0,7.4,206,4020.0,0.0,581.76,342,521.0,-7.0,0.85,43,238000.0,6.0,4.5,161,315000.0,0.0,78.0,246,7.0,0.0,4888.0,300,30.0,161.0,6.83,499,296640.0,41.0,6.0,98,4777200.0,0.0,750.0,239,15300.0,0.0,15.08,463,2713950.0,0.0,273.0,-55,200.0,0.0,44.0,177,630.0,20.0,52.7,181,1.0,0.0,92.5,265,37175.0,63.0,32.0,219,4029000.0,5.0,10.15,253,1023840.0,78.0,12.95,332,1000000.0,7.0,23.87,107,282.0,62.0,2.22,38,400.0,-5.0,52.0,144,91.0,1.0,115.0,296,27200.0,-92.0,8.5,250,80000.0,0.0,54.0,152,53160.0,0.0,1.75,261,871200.0,125.0,16.6,258,54.0,0.0,30.0,80,2850.8999999999996,0.0,13.45,323,433320.0,0.0,98.56,80,53.0,0.0,110.0,253,30000.0,-3.5,260.0,330,516.0
18,0.0,85.3,311,7872.0,0.0,61.6,122,255.0,0.0,23.19,220,20000.0,13.0,204.0,127,115200.0,239.0,4.52,374,10000.0,0.0,273.0,133,600.0,0.0,2785.0,136,2.0,0.0,2.61,282,200995.0,27.0,2.14,150,239300.0,3.0,3.85,365,409440.0,0.0,0.36,323,28080.0,4.0,75.0,166,17500.0,0.0,13.21,392,125725.0,0.0,63.0,218,192.0,0.0,0.01,226,21700.0,0.0,30.5,324,50460.0,0.0,12.37,492,32000.0,13.0,518.58,35,152400.0,0.0,23.4,215,2.0,135.0,0.36,186,613000.0,7.0,5.02,420,570000.0,6.0,483.4,204,4.0,0.0,7.74,40,58900.0,-5.0,17.43,142,3660.0,10.0,75.0,231,6000.0,0.0,88.34,471,270.0,0.0,173.0,166,104.0,-13.0,113.56,136,1280.0,0.0,18.0,246,150.0,0.0,110.0,219,8000.0
19,-28.0,8.29,41,15480.0,35.0,19.36,406,342000.0,-2.333333333,12.49,470,910680.0,29.0,472.03,63,1.0,8.0,0.79,115,714000.0,0.0,84.0,100,33000.0,10.0,7.4,293,1500000.0,6.0,6.54,330,4000000.0,53.0,37.72,147,1690000.0,0.0,18.0,406,225.0,0.0,29.84,211,8640.0,57.0,18.65,238,660000.0,0.0,6.98,90,1700.0,0.0,93.01,82,4000.0,0.0,0.36,68,347760.0,-12.0,109.4,414,22200.0,0.0,175.0,71,40.0,3.0,6.43,153,865260.0,-13.0,7.4,338,24750.0,0.0,9.5,387,127000.0,22.0,4846.21,190,1.0,0.0,0.88,188,480000.0,37.0,19.12,318,400020.0,-14.0,9.3,280,105480.0,-1.0,12.48,203,70000.0,0.0,12.9,182,5662500.0,-6.0,12.95,188,2558200.0,360.0,55.69,568,12.0,0.0,13.0,130,158200.0,-3.0,198.0,69,64.0
20,59.0,45.0,132,4800.0,83.0,96.87,476,2988000.0,22.28571429,6.54,266,2250000.0,-12.0,75.0,157,780.0,0.0,6.8,90,200.0,7.0,75.0,266,2000.0,21.0,9.9,225,105800.0,20.0,4.55,240,3900.0,0.0,180.0,310,11.0,-4.0,9.0,274,129600.0,21.0,125.0,253,2.0,0.0,4138.8,276,3.0,49.0,32.0,259,2789000.0,0.0,54.51,183,290.0,0.0,127.4,450,2400000.0,-130.0,4.5,111,2765700.0,0.0,180.0,331,151.0,0.0,2785.0,212,3.0,-9.0,2.12,219,118300.0,3.0,729.9,353,48.0,0.0,1.34,205,79340.0,0.0,26.9,287,650.0,0.0,6.54,123,502500.0,91.0,3.8,219,5000000.0,1.0,180.0,196,55.0,0.0,75.0,391,4950.0,-5.0,1.8,178,3663900.0,-6.0,260.0,101,50.0,43.0,180.0,119,14.0,0.0,96.87,71,96000.0
21,4.0,0.36,174,672480.0,41.0,6.1,165,1824240.0,-3.0,2.19,106,200.0,-4.375,10.15,173,16666560.0,61.0,26.96,206,44280.0,4.0,0.3,162,180000.0,1.0,2.07,224,385000.0,-59.0,4.15,141,20000.0,0.0,25.0,140,82400.0,0.0,137.0,82,4032.0,-13.0,1165.86,131,2.0,26.0,0.01,180,1.0,1.0,15.61,373,25080.0,-14.0,69.0,224,2350200.0,0.0,0.67,340,110000.0,-8.0,139.0,359,161.0,-9.0,272.0,108,15.0,0.0,1.45,158,900000.0,0.0,110.0,289,4000.0,-4.0,19.12,305,18240.0,-5.0,10.15,346,12405240.0,8.0,7.54,208,158600.0,10.0,22.05,244,600.0,27.0,0.88,57,1000000.0,-2.0,8.1,236,396000.0,11.0,3.99,77,15600.0,-2.0,692.48,353,40.0,0.0,8.5,349,2088.0,0.0,0.88,179,672400.0,1.0,125.22,-5,1.0
22,-1.0,19.5,224,18.0,2.0,30.0,233,1176.0,0.0,0.76,215,6150.0,16.0,1.96,342,500000.0,233.0,3.65,368,1183680.0,0.0,164.92,239,48.0,57.0,980.5,513,1.0,0.0,469.16,177,5.0,0.0,0.88,91,39200.0,32.0,2.62,320,37250.0,13.0,18.65,296,5739720.0,0.0,8.5,264,6912.0,0.0,63.0,205,288.0,-4.0,145.0,218,728.0,-3.0,45.95,91,54.0,0.0,19.12,422,30210.0,4.0,239.86,283,1200.0,0.0,621.0,453,276480.0,6.0,180.0,181,10.0,6.0,43.0,302,75000.0,0.0,15.61,290,59280.0,0.0,297.5,183,3400.0,0.0,1.87,307,400000.0,-7.0,280.0,188,41472.0,29.0,23.9,82,125.0,1.0,10.15,203,22500000.0,13.0,697.3,95,30600.0,-1.0,6.75,391,4000.0,-6.0,12.79,214,750.0,28.0,137.0,253,26.0
23,0.0,7.4,196,307800.0,31.0,6.54,221,87325.0,-5.0,10.15,453,20999970.0,0.0,47.97,270,1.0,-5.0,50.0,228,500.0,-28482.0,521.04,-136,1.0,5.0,7.54,637,128875.0,98.0,3.95,177,133000.0,150.0,3.15,210,2365710.0,0.0,6.54,397,105000.0,0.0,95.0,171,128.0,0.0,14.25,305,900000.0,0.0,1.34,328,91963.0,-6.0,198.0,151,72.0,0.0,110.0,206,32000.0,11.0,53.33,232,11.0,-1.0,2.61,729,100000.0,0.0,5500.0,218,1.0,0.0,213.0,121,6.0,-6.0,1.75,275,715800.0,-12.0,0.85,274,60000.0,19.0,1.71,197,70000.0,4.0,28.0,166,45000.0,0.0,0.72,42,15000000.0,-11.0,903.77,125,29400.0,0.0,79.0,79,4.0,16.0,105.6,221,16320.0,0.0,273.0,137,400.0,0.0,5710.99,221,10.0,67.0,68.07,438,304000.0
24,-8.0,75.0,186,105000.0,7.0,30.0,103,917.9999999999999,108.0,5.56,322,5474640.0,0.0,110.0,384,170000.0,0.0,581.76,231,286.0,-9.0,17.25,341,148920.0,8.0,11.27,121,21375.0,-10.0,50.0,253,36.0,-11.0,96.87,298,600000.0,-3.0,14.25,198,514800.0,-4.0,675.0,45,2.0,0.0,7.4,171,42090.0,0.0,46.5,228,16100.0,0.0,104.0,213,300.0,-2.0,217.3,231,18.0,0.0,11308.54,42,150.0,-14.0,581.76,127,460.0,1.0,9.0,212,1878390.0,79.0,198.0,274,150.0,0.0,19.7,264,75.0,-12.0,266.34,204,36.0,136.0,2.2,449,5319000.0,0.0,348.15,287,500.0,4.0,0.01,283,1.0,-8.0,600.0,115,3.0,-9.0,1.75,122,2200000.0,0.0,581.76,358,521.0,2.0,55.0,45,73.0,-2.0,31.61,191,750.0,-68.0,149.0,207,221.0
25,-11.0,6.72,277,39700.0,43.0,18.65,160,9600000.0,10.0,49.42,64,10560.0,120.0,28.0,213,30000.0,0.0,24.51,586,18.0,6.0,15.61,254,5730.0,0.0,12.49,309,20580.0,-3.0,903.77,222,5520.0,0.0,0.36,137,437000.0,0.0,15.61,380,12210.0,-74.0,7.1,164,10802400.0,-1.0,88.34,294,270.0,0.0,1.0,162,20000.0,95.0,0.85,106,4000.0,0.0,180.0,202,15.0,-2.0,1.3,295,239900.0,0.0,6.54,320,325000.0,0.0,31.0,135,1260.0,63.0,83.34,365,90000.0,-1.0,44.0,60,450.0,0.0,0.01,16,50.0,0.0,178.0,119,768.0,-13.0,5.56,57,12000000.0,-1.0,4.6,331,53350.0,0.0,340.0,204,1.0,-4.0,109.25,68,1550.0,53.0,3.15,235,2112000.0,-7.0,252.2,200,50.0,0.0,135.0,143,2700.0,0.0,7.99,66,5600.0
